Date;25419 - Median of Residential Real Estate Collateral Value - R$
03/2004;44,797.0
04/2004;43,000.0
05/2004;43,638.0
06/2004;43,975.0
07/2004;43,465.0
08/2004;42,862.0
09/2004;43,000.0
10/2004;43,000.0
11/2004;44,153.0
12/2004;44,463.0
01/2005;45,000.0
02/2005;45,000.0
03/2005;45,000.0
04/2005;45,000.0
05/2005;45,000.0
06/2005;45,000.0
07/2005;45,000.0
08/2005;44,500.0
09/2005;43,000.0
10/2005;42,719.0
11/2005;42,353.0
12/2005;42,000.0
01/2006;42,194.0
02/2006;42,024.0
03/2006;43,700.0
04/2006;44,000.0
05/2006;45,000.0
06/2006;45,000.0
07/2006;45,000.0
08/2006;47,000.0
09/2006;46,000.0
10/2006;48,000.0
11/2006;47,200.0
12/2006;55,000.0
01/2007;55,900.0
02/2007;56,000.0
03/2007;53,427.0
04/2007;52,000.0
05/2007;54,800.0
06/2007;55,000.0
07/2007;60,000.0
08/2007;60,000.0
09/2007;61,500.0
10/2007;60,000.0
11/2007;61,000.0
12/2007;61,036.0
01/2008;63,500.0
02/2008;65,000.0
03/2008;69,000.0
04/2008;70,000.0
05/2008;71,629.0
06/2008;74,000.0
07/2008;75,000.0
08/2008;76,000.0
09/2008;77,000.0
10/2008;78,000.0
11/2008;78,000.0
12/2008;78,500.0
01/2009;78,000.0
02/2009;78,353.0
03/2009;78,771.0
04/2009;79,475.0
05/2009;80,000.0
06/2009;80,000.0
07/2009;80,000.0
08/2009;80,000.0
09/2009;80,001.0
10/2009;81,000.0
11/2009;81,000.0
12/2009;82,544.0
01/2010;84,000.0
02/2010;85,000.0
03/2010;87,012.0
04/2010;88,000.0
05/2010;89,070.0
06/2010;89,984.0
07/2010;90,000.0
08/2010;90,000.0
09/2010;91,404.0
10/2010;94,500.0
11/2010;95,000.0
12/2010;96,000.0
01/2011;95,723.0
02/2011;98,000.0
03/2011;100,000.0
04/2011;100,121.0
05/2011;105,071.0
06/2011;100,026.0
07/2011;100,123.0
08/2011;103,717.0
09/2011;110,000.0
10/2011;115,039.0
11/2011;120,000.0
12/2011;121,533.0
01/2012;120,038.0
02/2012;120,104.0
03/2012;121,560.0
04/2012;122,000.0
05/2012;124,000.0
06/2012;125,058.0
07/2012;128,060.0
08/2012;129,500.0
09/2012;130,000.0
10/2012;130,000.0
11/2012;132,000.0
12/2012;131,500.0
01/2013;132,315.0
02/2013;131,000.0
03/2013;134,300.0
04/2013;137,600.0
05/2013;140,000.0
06/2013;142,000.0
07/2013;141,018.0
08/2013;142,000.0
09/2013;142,938.0
10/2013;145,000.0
11/2013;146,076.0
12/2013;150,071.0
01/2014;154,000.0
02/2014;150,000.0
03/2014;149,601.0
04/2014;148,008.0
05/2014;148,539.0
06/2014;145,000.0
07/2014;145,000.0
08/2014;145,000.0
09/2014;150,000.0
10/2014;150,000.0
11/2014;150,000.0
12/2014;150,000.0
01/2015;156,000.0
02/2015;155,000.0
03/2015;155,168.0
04/2015;160,000.0
05/2015;155,000.0
06/2015;145,870.0
07/2015;145,000.0
08/2015;145,000.0
09/2015;145,000.0
10/2015;145,000.0
11/2015;145,000.0
12/2015;145,000.0
01/2016;145,000.0
02/2016;145,000.0
03/2016;145,000.0
04/2016;145,066.0
05/2016;155,000.0
06/2016;155,000.0
07/2016;157,600.0
08/2016;155,000.0
09/2016;155,000.0
10/2016;155,034.0
11/2016;155,035.0
12/2016;150,450.0
01/2017;151,491.0
02/2017;154,021.0
03/2017;160,000.0
04/2017;160,000.0
05/2017;160,000.0
06/2017;160,000.0
07/2017;160,008.0
08/2017;160,000.0
09/2017;160,005.0
10/2017;161,007.0
11/2017;158,000.0
12/2017;154,000.0
01/2018;154,000.0
02/2018;160,000.0
03/2018;164,760.0
04/2018;165,000.0
05/2018;165,000.0
06/2018;167,000.0
07/2018;167,000.0
08/2018;165,000.0
09/2018;165,000.0
10/2018;164,000.0
11/2018;165,000.0
12/2018;165,000.0
01/2019;175,000.0
02/2019;170,000.0
03/2019;170,000.0
04/2019;165,000.0
05/2019;169,000.0
06/2019;170,000.0
07/2019;170,000.0
08/2019;183,500.0
09/2019;185,000.0
10/2019;180,000.0
11/2019;170,000.0
12/2019;170,000.0
01/2020;178,000.0
02/2020;185,000.0
03/2020;185,000.0
04/2020;180,000.0
05/2020;180,000.0
06/2020;180,000.0
07/2020;180,000.0
08/2020;185,000.0
09/2020;190,000.0
10/2020;196,000.0
11/2020;200,000.0
12/2020;203,000.0
01/2021;210,000.0
02/2021;213,100.0
03/2021;215,000.0
04/2021;216,000.0
05/2021;217,000.0
06/2021;220,000.0
07/2021;220,000.0
08/2021;222,947.0
09/2021;225,000.0
10/2021;223,000.0
11/2021;229,000.0
12/2021;240,000.0
01/2022;250,000.0
02/2022;240,000.0
03/2022;226,000.0
04/2022;221,950.0
05/2022;221,000.0
06/2022;221,950.0
07/2022;225,750.0
08/2022;225,000.0
09/2022;226,000.0
10/2022;224,000.0
11/2022;230,000.0
12/2022;225,000.0
01/2023;230,000.0
02/2023;230,000.0
03/2023;245,000.0
04/2023;240,000.0
05/2023;237,000.0
06/2023;232,100.0
07/2023;235,000.0
08/2023;240,000.0
09/2023;240,000.0
10/2023;240,000.0
11/2023;238,000.0
12/2023;240,000.0
01/2024;245,000.0
02/2024;248,000.0
03/2024;245,000.0
04/2024;250,000.0
05/2024;250,000.0
06/2024;256,000.0
07/2024;257,700.0
08/2024;261,700.0
09/2024;262,000.0
10/2024;260,000.0
11/2024;258,000.0
12/2024;252,000.0
01/2025;250,000.0
02/2025;255,000.0
03/2025;260,000.0
04/2025;260,000.0
Source;BCB-Desig
